Reporter,Partner,Flow,Value,Unit,FlowYear,FlowSourceUrl,FlowSource,FlowSourceRate,Balance,ReporterIso,PartnerIso,BalanceSourceUrl,BalanceSource,GDP,flowRank
Argentina,India,Export,"2,003",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,IND,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,5
Argentina,Brazil,Import,"13,006",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,BRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,1
Argentina,China,Import,"11,743",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,2
Argentina,United States,Import,"7,700",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,3
Argentina,Germany,Import,"3,130",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,4
Argentina,Mexico,Import,"1,822",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,MEX,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,5
Armenia,Russia,Export,226,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,RUS,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,1
Armenia,China,Export,165,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,2
Armenia,Germany,Export,145,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,3
Armenia,Iraq,Export,131,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,IRQ,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,4
Armenia,Georgia,Export,114,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,GEO,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,5
Armenia,Russia,Import,991,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,RUS,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,1
Armenia,China,Import,315,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,2
Armenia,Iran,Import,198,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,IRN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,3
Armenia,Germany,Import,182,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,4
Armenia,Italy,Import,148,USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arm,World Integrated Trade Solution,,-267,ARM,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,10529,5
Australia,China,Export,"61,012",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,1
Australia,Japan,Export,"29,827",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,JPN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,2
Australia,South Korea,Export,"13,299",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,KOR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,3
Australia,United States,Export,"9,977",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,4
Australia,India,Export,"7,947",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,IND,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,5
Australia,China,Import,"46,293",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,1
Australia,United States,Import,"22,561",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,2
Australia,Japan,Import,"14,793",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,JPN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,3
Australia,South Korea,Import,"10,896",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,KOR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,4
Australia,Thailand,Import,"10,197",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aus,World Integrated Trade Solution,,-43850,AUS,THA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1339141,5
